Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
207.7500000	-3963.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0104372	0.0120920	-0.0083310	-0.0123558	-0.0108052	-0.0126584	0.0076832	0.0118048
209.5000000	3983.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0105527	0.0128207	0.0118553	0.0077749	-0.0109301	-0.0133987	-0.0125172	-0.0083198
211.0000000	28.2800007	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0093341	0.0110425	0.0015643	-0.0019686	-0.0097138	-0.0116097	-0.0022049	0.0014288
212.5500000	-3963.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0109342	0.0126921	-0.0083111	-0.0125311	-0.0113163	-0.0132432	0.0076947	0.0119896
214.3000000	3983.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0110508	0.0134301	0.0120496	0.0077712	-0.0114516	-0.0139968	-0.0126796	-0.0083065
215.8000000	28.2199993	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0098279	0.0116481	0.0016735	-0.0020578	-0.0102342	-0.0122042	-0.0022793	0.0015263
217.3000000	-3963.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0114237	0.0132899	-0.0082800	-0.0126918	-0.0118351	-0.0138338	0.0076990	0.0121636
219.1500000	3983.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0115456	0.0140353	0.0122386	0.0077592	-0.0119779	-0.0145904	-0.0128143	-0.0082841
220.6000000	28.2199993	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0103179	0.0122541	0.0017945	-0.0021354	-0.0107655	-0.0127961	-0.0023389	0.0016353
222.1500000	-3963.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0118583	0.0138595	-0.0081867	-0.0127715	-0.0124094	-0.0144268	0.0077361	0.0123741
223.9500000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0119816	0.0146261	0.0124450	0.0077952	-0.0125517	-0.0151872	-0.0128932	-0.0081862
225.4500000	28.2500000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0107797	0.0128585	0.0019407	-0.0021708	-0.0113380	-0.0134119	-0.0023886	0.0017708
226.9500000	-3963.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0123696	0.0144870	-0.0081277	-0.0128996	-0.0129304	-0.0150348	0.0076829	0.0124879
228.7500000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0125106	0.0152381	0.0125446	0.0077095	-0.0130783	-0.0157940	-0.0129895	-0.0081189
230.2000000	28.2500000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0112980	0.0134708	0.0020263	-0.0022681	-0.0118596	-0.0140203	-0.0024761	0.0018487
231.7000000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0128719	0.0150805	-0.0080109	-0.0129488	-0.0134241	-0.0156157	0.0075614	0.0125116
233.6000000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0130218	0.0158219	0.0125483	0.0075476	-0.0135739	-0.0163539	-0.0129704	-0.0079454
235.1500000	28.1599998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0117949	0.0140490	0.0021065	-0.0023592	-0.0123407	-0.0145747	-0.0025447	0.0019276
236.6500000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0133367	0.0156300	-0.0077586	-0.0128436	-0.0138698	-0.0161367	0.0073015	0.0123778
238.4000000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0134385	0.0162872	0.0123540	0.0072165	-0.0139722	-0.0167888	-0.0127449	-0.0076095
239.9000000	28.2900009	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0121848	0.0144946	0.0021634	-0.0024262	-0.0127064	-0.0149931	-0.0026013	0.0019753
241.4000000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0136362	0.0159970	-0.0072637	-0.0124393	-0.0141505	-0.0164815	0.0067810	0.0119148
243.1500000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0136638	0.0165092	0.0117710	0.0065591	-0.0141713	-0.0169702	-0.0121197	-0.0069357
244.7000000	28.2500000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0123474	0.0146831	0.0021853	-0.0024645	-0.0128417	-0.0151425	-0.0026155	0.0019958
246.2000000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0136519	0.0160533	-0.0063375	-0.0115145	-0.0141306	-0.0164879	0.0058164	0.0109121
248.0000000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0135260	0.0162891	0.0105916	0.0054162	-0.0139908	-0.0166861	-0.0108652	-0.0057491
249.5000000	28.1700001	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0121141	0.0144126	0.0021455	-0.0024453	-0.0125556	-0.0148018	-0.0025491	0.0019650
251.0000000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0131765	0.0155587	-0.0048294	-0.0098494	-0.0135819	-0.0159077	0.0042756	0.0091556
252.8000000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0128102	0.0153828	0.0086446	0.0036838	-0.0132134	-0.0156892	-0.0088382	-0.0039795
254.3000000	28.2399998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0113001	0.0134565	0.0020027	-0.0023377	-0.0116805	-0.0137718	-0.0023872	0.0018260
255.8000000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0120193	0.0142588	-0.0028731	-0.0075071	-0.0123654	-0.0145442	0.0023081	0.0067468
257.5500000	3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0113945	0.0136612	0.0061407	0.0016619	-0.0117577	-0.0138969	-0.0063142	-0.0019754
259.1000000	28.2199993	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0098728	0.0117790	0.0017399	-0.0021140	-0.0102182	-0.0120402	-0.0021114	0.0015805
260.5500000	-3962.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0102526	0.0122145	-0.0009632	-0.0049671	-0.0105535	-0.0124497	0.0004354	0.0042265
262.3500000	3981.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0094894	0.0113558	0.0036977	-0.0000780	-0.0098150	-0.0115510	-0.0038991	-0.0002927
264.0000000	28.0799999	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0080566	0.0096195	0.0013866	-0.0017926	-0.0083925	-0.0098774	-0.0017553	0.0012594
265.5000000	-3961.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0081760	0.0097557	0.0003779	-0.0028367	-0.0084709	-0.0099978	-0.0008428	0.0021725
267.2500000	3981.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0074190	0.0088686	0.0018222	-0.0011311	-0.0077557	-0.0090883	-0.0021011	0.0007002
